date,description
1/1/2012,New Year Day
1/16/2012,Martin Luther King Jr. Day
2/20/2012,Presidents Day (Washingtons Birthday)
4/6/2012,Good Friday
5/28/2012,Memorial Day
7/4/2012,Independence Day
9/3/2012,Labor Day
11/22/2012,Thanksgiving Day
12/25/2012,Christmas Day
1/1/2013,New Year Day
1/21/2013,Martin Luther King Jr. Day
2/18/2013,Presidents Day (Washingtons Birthday)
3/29/2013,Good Friday
5/27/2013,Memorial Day
7/4/2013,Independence Day
9/2/2013,Labor Day
11/28/2013,Thanksgiving Day
12/25/2013,Christmas Day
1/1/2014,New Year Day
1/20/2014,Martin Luther King Jr. Day
2/17/2014,Presidents Day (Washingtons Birthday)
4/18/2014,Good Friday
5/26/2014,Memorial Day
7/4/2014,Independence Day
9/1/2014,Labor Day
11/27/2014,Thanksgiving Day
12/25/2014,Christmas Day
1/1/2015,New Year Day
1/19/2015,Martin Luther King Jr. Day
2/16/2015,Presidents Day (Washingtons Birthday)
4/3/2015,Good Friday
5/25/2015,Memorial Day
7/3/2015,Independence Day
9/7/2015,Labor Day
11/26/2015,Thanksgiving Day
12/25/2015,Christmas Day
1/1/2016,New Year Day
1/18/2016,Martin Luther King Jr. Day
2/15/2016,Presidents Day (Washingtons Birthday)
3/25/2016,Good Friday
5/30/2016,Memorial Day
7/4/2016,Independence Day
9/5/2016,Labor Day
11/24/2016,Thanksgiving Day
12/25/2016,Christmas Day
1/2/2017,New Year Day
1/16/2017,Martin Luther King Jr. Day
2/20/2017,Presidents Day (Washingtons Birthday)
4/14/2017,Good Friday
5/29/2017,Memorial Day
7/4/2017,Independence Day
9/4/2017,Labor Day
11/23/2017,Thanksgiving Day
12/25/2017,Christmas Day
